C:\Users\nagak\AppData\Local\Temp\RenderDoc\sample_app_2026.04.18_05.06.10_frame237.rdc - Frame #237

 EID  | Event                                                             | Action # | Duration (Microseconds)
7241  |   - DrawIndexedInstanced(228, 1)                                  | 188    | 2.72
7251  |   - DrawIndexedInstanced(240, 1)                                  | 189    | 2.496
7261  |   - DrawIndexedInstanced(2856, 1)                                 | 190    | 1.984
7271  |   - DrawIndexedInstanced(780, 1)                                  | 191    | 2.688
7281  |   - DrawIndexedInstanced(228, 1)                                  | 192    | 2.464
7291  |   - DrawIndexedInstanced(240, 1)                                  | 193    | 2.528
7301  |   - DrawIndexedInstanced(2856, 1)                                 | 194    | 3.488
7311  |   - DrawIndexedInstanced(780, 1)                                  | 195    | 3.104
7321  |   - DrawIndexedInstanced(228, 1)                                  | 196    | 4.064
7331  |   - DrawIndexedInstanced(240, 1)                                  | 197    | 2.88
7341  |   - DrawIndexedInstanced(2856, 1)                                 | 198    | 3.424
7351  |   - DrawIndexedInstanced(780, 1)                                  | 199    | 2.464
7361  |   - DrawIndexedInstanced(228, 1)                                  | 200    | 2.752
7371  |   - DrawIndexedInstanced(240, 1)                                  | 201    | 2.752
7381  |   - DrawIndexedInstanced(2856, 1)                                 | 202    | 1.664
7391  |   - DrawIndexedInstanced(780, 1)                                  | 203    | 2.272
7401  |   - DrawIndexedInstanced(228, 1)                                  | 204    | 2.72
7411  |   - DrawIndexedInstanced(240, 1)                                  | 205    | 2.464
7421  |   - DrawIndexedInstanced(2856, 1)                                 | 206    | 2.816
7431  |   - DrawIndexedInstanced(780, 1)                                  | 207    | 1.792
7441  |   - DrawIndexedInstanced(228, 1)                                  | 208    | 3.04
7451  |   - DrawIndexedInstanced(240, 1)                                  | 209    | 3.52
7461  |   - DrawIndexedInstanced(2856, 1)                                 | 210    | 3.20
7471  |   - DrawIndexedInstanced(780, 1)                                  | 211    | 2.656
7481  |   - DrawIndexedInstanced(228, 1)                                  | 212    | 3.392
7491  |   - DrawIndexedInstanced(240, 1)                                  | 213    | 2.528
7501  |   - DrawIndexedInstanced(2856, 1)                                 | 214    | 2.976
7511  |   - DrawIndexedInstanced(780, 1)                                  | 215    | 2.208
7521  |   - DrawIndexedInstanced(228, 1)                                  | 216    | 2.944
7531  |   - DrawIndexedInstanced(240, 1)                                  | 217    | 2.496
7541  |   - DrawIndexedInstanced(2856, 1)                                 | 218    | 1.984
7551  |   - DrawIndexedInstanced(780, 1)                                  | 219    | 2.432
7561  |   - DrawIndexedInstanced(228, 1)                                  | 220    | 2.528
7571  |   - DrawIndexedInstanced(240, 1)                                  | 221    | 2.464
7581  |   - DrawIndexedInstanced(2856, 1)                                 | 222    | 3.168
7591  |   - DrawIndexedInstanced(780, 1)                                  | 223    | 2.016
7601  |   - DrawIndexedInstanced(228, 1)                                  | 224    | 3.136
7611  |   - DrawIndexedInstanced(240, 1)                                  | 225    | 2.784
7621  |   - DrawIndexedInstanced(2856, 1)                                 | 226    | 3.584
7631  |   - DrawIndexedInstanced(780, 1)                                  | 227    | 3.264
7641  |   - DrawIndexedInstanced(228, 1)                                  | 228    | 2.976
7651  |   - DrawIndexedInstanced(240, 1)                                  | 229    | 2.496
7661  |   - DrawIndexedInstanced(2856, 1)                                 | 230    | 3.84
7671  |   - DrawIndexedInstanced(780, 1)                                  | 231    | 3.264
7681  |   - DrawIndexedInstanced(228, 1)                                  | 232    | 3.072
7691  |   - DrawIndexedInstanced(240, 1)                                  | 233    | 4.80
7701  |   - DrawIndexedInstanced(2856, 1)                                 | 234    | 3.072
7711  |   - DrawIndexedInstanced(780, 1)                                  | 235    | 3.584
7721  |   - DrawIndexedInstanced(228, 1)                                  | 236    | 2.688
7731  |   - DrawIndexedInstanced(240, 1)                                  | 237    | 2.72
7741  |   - DrawIndexedInstanced(2856, 1)                                 | 238    | 3.456
7751  |   - DrawIndexedInstanced(780, 1)                                  | 239    | 3.072
7761  |   - DrawIndexedInstanced(228, 1)                                  | 240    | 2.944
7771  |   - DrawIndexedInstanced(240, 1)                                  | 241    | 3.008
7781  |   - DrawIndexedInstanced(2856, 1)                                 | 242    | 3.648
7791  |   - DrawIndexedInstanced(780, 1)                                  | 243    | 2.944
7801  |   - DrawIndexedInstanced(228, 1)                                  | 244    | 3.616
7811  |   - DrawIndexedInstanced(240, 1)                                  | 245    | 3.36
7821  |   - DrawIndexedInstanced(2856, 1)                                 | 246    | 2.368
7831  |   - DrawIndexedInstanced(780, 1)                                  | 247    | 2.656
7841  |   - DrawIndexedInstanced(228, 1)                                  | 248    | 2.656
7851  |   - DrawIndexedInstanced(240, 1)                                  | 249    | 2.496
7861  |   - DrawIndexedInstanced(2856, 1)                                 | 250    | 2.816
7871  |   - DrawIndexedInstanced(780, 1)                                  | 251    | 1.696
7881  |   - DrawIndexedInstanced(228, 1)                                  | 252    | 2.816
7891  |   - DrawIndexedInstanced(240, 1)                                  | 253    | 2.656
7901  |   - DrawIndexedInstanced(2856, 1)                                 | 254    | 2.816
7911  |   - DrawIndexedInstanced(780, 1)                                  | 255    | 3.584
7921  |   - DrawIndexedInstanced(228, 1)                                  | 256    | 2.656
7931  |   - DrawIndexedInstanced(240, 1)                                  | 257    | 2.432
7941  |   - DrawIndexedInstanced(2856, 1)                                 | 258    | 4.224
7951  |   - DrawIndexedInstanced(780, 1)                                  | 259    | 3.04
7961  |   - DrawIndexedInstanced(228, 1)                                  | 260    | 3.04
7971  |   - DrawIndexedInstanced(240, 1)                                  | 261    | 4.80
7981  |   - DrawIndexedInstanced(2856, 1)                                 | 262    | 3.84
7991  |   - DrawIndexedInstanced(780, 1)                                  | 263    | 2.56
8001  |   - DrawIndexedInstanced(228, 1)                                  | 264    | 2.176
8011  |   - DrawIndexedInstanced(240, 1)                                  | 265    | 2.848
8021  |   - DrawIndexedInstanced(2856, 1)                                 | 266    | 2.848
8031  |   - DrawIndexedInstanced(780, 1)                                  | 267    | 3.616
8041  |   - DrawIndexedInstanced(228, 1)                                  | 268    | 2.688
8051  |   - DrawIndexedInstanced(240, 1)                                  | 269    | 2.784
8061  |   - DrawIndexedInstanced(2856, 1)                                 | 270    | 3.328
8071  |   - DrawIndexedInstanced(780, 1)                                  | 271    | 3.52
8081  |   - DrawIndexedInstanced(228, 1)                                  | 272    | 2.848
8091  |   - DrawIndexedInstanced(240, 1)                                  | 273    | 2.016
8101  |   - DrawIndexedInstanced(2856, 1)                                 | 274    | 3.264
8111  |   - DrawIndexedInstanced(780, 1)                                  | 275    | 3.648
8121  |   - DrawIndexedInstanced(228, 1)                                  | 276    | 2.784
8131  |   - DrawIndexedInstanced(240, 1)                                  | 277    | 2.624
8141  |   - DrawIndexedInstanced(2856, 1)                                 | 278    | 3.616
8151  |   - DrawIndexedInstanced(780, 1)                                  | 279    | 2.464
8161  |   - DrawIndexedInstanced(228, 1)                                  | 280    | 2.72
8171  |   - DrawIndexedInstanced(240, 1)                                  | 281    | 2.784
8181  |   - DrawIndexedInstanced(2856, 1)                                 | 282    | 2.784
8191  |   - DrawIndexedInstanced(780, 1)                                  | 283    | 2.592
8201  |   - DrawIndexedInstanced(228, 1)                                  | 284    | 2.912
8211  |   - DrawIndexedInstanced(240, 1)                                  | 285    | 2.496
